,time,to,ac_start,t_average
0,1989-01-01 00:00:00,2.3,0,2.3
1,1989-01-01 00:15:00,2.375,0,2.375
2,1989-01-01 00:30:00,2.45,0,2.45
3,1989-01-01 00:45:00,2.5250000000000004,0,2.5250000000000004
4,1989-01-01 01:00:00,2.6,0,2.6
5,1989-01-01 01:15:00,2.6750000000000003,0,2.6750000000000003
6,1989-01-01 01:30:00,2.75,0,2.75
7,1989-01-01 01:45:00,2.8249999999999997,0,2.8249999999999997
8,1989-01-01 02:00:00,2.9,0,2.9
9,1989-01-01 02:15:00,2.875,0,2.875
10,1989-01-01 02:30:00,2.8499999999999996,0,2.8499999999999996
11,1989-01-01 02:45:00,2.8249999999999997,0,2.8249999999999997
12,1989-01-01 03:00:00,2.8,0,2.8
13,1989-01-01 03:15:00,2.6999999999999997,0,2.6999999999999997
14,1989-01-01 03:30:00,2.5999999999999996,0,2.5999999999999996
15,1989-01-01 03:45:00,2.5,0,2.5
16,1989-01-01 04:00:00,2.4,0,2.4
17,1989-01-01 04:15:00,2.4,0,2.4
18,1989-01-01 04:30:00,2.4,0,2.4
19,1989-01-01 04:45:00,2.4,0,2.4
20,1989-01-01 05:00:00,2.4,0,2.4
21,1989-01-01 05:15:00,2.5,0,2.5
22,1989-01-01 05:30:00,2.5999999999999996,0,2.5999999999999996
23,1989-01-01 05:45:00,2.6999999999999997,0,2.6999999999999997
24,1989-01-01 06:00:00,2.8,0,2.8
25,1989-01-01 06:15:00,2.675,0,2.675
26,1989-01-01 06:30:00,2.55,0,2.55
27,1989-01-01 06:45:00,2.425,0,2.425
28,1989-01-01 07:00:00,2.3,0,2.3
29,1989-01-01 07:15:00,2.3,1,2.45
30,1989-01-01 07:30:00,2.3,0,2.3
31,1989-01-01 07:45:00,2.3,0,2.3
32,1989-01-01 08:00:00,2.3,0,2.3
33,1989-01-01 08:15:00,2.65,0,2.65
34,1989-01-01 08:30:00,3.0,0,3.0
35,1989-01-01 08:45:00,3.3500000000000005,0,3.3500000000000005
36,1989-01-01 09:00:00,3.7,0,3.7
37,1989-01-01 09:15:00,4.25,0,4.25
38,1989-01-01 09:30:00,4.800000000000001,0,4.800000000000001
39,1989-01-01 09:45:00,5.3500000000000005,0,5.3500000000000005
40,1989-01-01 10:00:00,5.9,0,5.9
41,1989-01-01 10:15:00,6.3500000000000005,0,6.3500000000000005
42,1989-01-01 10:30:00,6.800000000000001,0,6.800000000000001
43,1989-01-01 10:45:00,7.25,0,7.25
44,1989-01-01 11:00:00,7.7,0,7.7
45,1989-01-01 11:15:00,7.9,0,7.9
46,1989-01-01 11:30:00,8.1,0,8.1
47,1989-01-01 11:45:00,8.3,0,8.3
48,1989-01-01 12:00:00,8.5,0,8.5
49,1989-01-01 12:15:00,8.7,0,8.7
50,1989-01-01 12:30:00,8.9,0,8.9
51,1989-01-01 12:45:00,9.100000000000001,0,9.100000000000001
52,1989-01-01 13:00:00,9.3,0,9.3
53,1989-01-01 13:15:00,9.425,0,9.425
54,1989-01-01 13:30:00,9.55,0,9.55
55,1989-01-01 13:45:00,9.675,0,9.675
56,1989-01-01 14:00:00,9.8,0,9.8
57,1989-01-01 14:15:00,9.75,0,9.75
58,1989-01-01 14:30:00,9.7,0,9.7
59,1989-01-01 14:45:00,9.649999999999999,0,9.649999999999999
60,1989-01-01 15:00:00,9.6,0,9.6
